config,dataset,n,metric,score,nocf_score,delta_vs_nocf,cf_used_rate,prediction_changed_rate,rescue,harm,neutral_change,net_rescue,main_block_reason,diag_path
test_config_smolvlm2_v91_cf_mme_rw,MME-RealWorld-Lite,200,Overall,0.385,,,0.0,0.035,,,,,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_mme_rw/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_ocrbench,OCRBench,1000,Final Score Norm,72.5,72.5,0.0,0.010447761194029851,0.014925373134328358,3,3,6,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrbench/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_ocrbench,OCRBench,200,Final Score Norm,14.7,14.7,0.0,0.155,0.045,0,0,0,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_ocrbench/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_ocrvqa,OCRVQA_TEST,1000,Overall,16.1,16.2,-0.09999999999999787,0.007,0.007,0,1,6,-1,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_ocrvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_ocrvqa,OCRVQA_TEST,200,Overall,17.5,17.5,0.0,0.155,0.03,0,1,0,-1,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_ocrvqa/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf2_textvqa,TextVQA_VAL,200,Overall,69.05000000000001,69.05000000000001,0.0,0.03,0.0,0,0,0,0,beta_zero,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf2_textvqa/diagnostics/v91cf_samples.jsonl
test_config_smolvlm2_v91_cf3_force_grid_no_quality_gate_textvqa,TextVQA_VAL,200,Overall,61.75000000000001,69.05000000000001,-7.300000000000004,0.315,0.275,7,22,26,-15,low_cf_margin,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_force_grid_no_quality_gate_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_force_grid_textvqa,TextVQA_VAL,1000,Overall,72.28,71.96000000000001,0.3199999999999932,0.023,0.025,9,6,6,3,low_cf_margin,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_force_grid_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_force_switch_analysis_textvqa,TextVQA_VAL,200,Overall,60.75000000000001,69.05000000000001,-8.300000000000004,0.265,0.265,6,23,24,-17,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_force_switch_analysis_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_no_quality_gate_textvqa,TextVQA_VAL,200,Overall,61.25000000000001,69.05000000000001,-7.800000000000004,0.26,0.26,6,22,24,-16,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_no_quality_gate_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_textvqa,TextVQA_VAL,200,Overall,69.05000000000001,69.05000000000001,0.0,0.005,0.005,0,0,1,0,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_textvqa_g01,TextVQA_VAL,200,Overall,69.05000000000001,,,0.005,0.005,,,,,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_g01/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_textvqa_g02,TextVQA_VAL,200,Overall,69.05000000000001,,,0.005,0.005,,,,,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_g02/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_routed_textvqa_g04,TextVQA_VAL,200,Overall,69.05000000000001,,,0.005,0.005,,,,,no_cf_scores,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_routed_textvqa_g04/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_score_only_textvqa,TextVQA_VAL,200,Overall,69.05000000000001,69.05000000000001,0.0,0.0,0.0,0,0,0,0,cf3_score_only,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_score_only_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf3_textvqa,TextVQA_VAL,200,Overall,69.05000000000001,69.05000000000001,0.0,0.0,0.0,0,0,0,0,cf3_verifier_block,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf3_textvqa/diagnostics/v91cf3_samples.jsonl
test_config_smolvlm2_v91_cf_textvqa,TextVQA_VAL,200,Overall,69.05000000000001,69.05000000000001,0.0,0.374,0.036,0,0,3,0,unknown,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/.runtime_cache/test_config_smolvlm2_v91_cf_textvqa/diagnostics/v91cf_samples.jsonl
